epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5788,1.16699,2.55496,3.14491,1.3533,1,0.1647,0.82623,0.53798,1,0.1647,0.74294,0.39618,1.09121,4.58174,2.89445,1.17768,0.000648649,0.000648649,0.000648649
2,31.6948,1.07475,1.88536,2.11096,1.27449,0.63226,0.2593,0.42141,0.22644,0.4378,0.16687,0.24441,0.08552,1.55514,7.69581,3.32681,1.80783,0.0011851,0.0011851,0.0011851
3,36.7037,1.09357,1.80958,1.78962,1.24038,0.73839,0.69841,0.78753,0.52662,0.74066,0.70635,0.78824,0.52527,1.08128,2.38622,2.22036,1.31909,0.00158955,0.00158955,0.00158955
4,41.6142,1.05143,1.70262,1.47781,1.2423,0.88072,0.82044,0.90628,0.5927,0.88072,0.82044,0.89818,0.60132,1.11624,1.99722,1.47617,1.31338,0.001406,0.001406,0.001406
5,46.5226,1.05178,1.66744,1.28089,1.21999,0.81242,0.69048,0.81498,0.55854,0.81829,0.64286,0.73732,0.43681,1.13428,3.63227,1.30192,1.24649,0.001208,0.001208,0.001208
6,51.8377,0.97189,1.61994,1.10156,1.1678,0.96081,0.97288,0.98455,0.7148,0.96081,0.97288,0.98455,0.70945,0.9271,1.63255,1.15267,1.08508,0.00101,0.00101,0.00101
7,57.4821,0.93316,1.47358,0.96787,1.14085,0.94953,0.96032,0.97903,0.72506,0.94953,0.96032,0.97903,0.73269,0.90377,1.37463,0.72015,1.07515,0.000812,0.000812,0.000812
8,63.0898,0.86877,1.39631,0.86436,1.10227,0.9817,0.98413,0.9879,0.74906,0.9817,0.98413,0.9879,0.72685,0.86325,1.40308,0.63471,1.0476,0.000614,0.000614,0.000614
9,68.7089,0.84256,1.37808,0.79354,1.09254,0.97573,0.95704,0.988,0.76687,0.97573,0.95704,0.988,0.7586,0.82446,1.29531,0.60615,1.02722,0.000416,0.000416,0.000416
10,74.3068,0.80315,1.29054,0.7622,1.06786,0.96101,0.97798,0.98486,0.74904,0.96101,0.97798,0.98486,0.73977,0.82115,1.31085,0.59264,1.02977,0.000218,0.000218,0.000218
