epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7606,1.16122,2.26115,3.7264,1.63347,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.073408,0.003408,0.003408
2,36.5635,1.12935,1.66494,2.10607,1.58947,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0453919,0.00622523,0.00622523
3,41.4633,1.05385,1.56802,1.74546,1.48897,5e-05,0.00794,2e-05,1e-05,9e-05,0.01587,4e-05,2e-05,nan,nan,nan,nan,0.016681,0.00834764,0.00834764
4,46.2752,0.96189,1.55606,1.62653,1.39423,0.35121,0.43651,0.35443,0.15002,0.34213,0.42063,0.32454,0.13505,1.53572,14.2486,8.2196,2.37347,0.00797978,0.00797978,0.00797978
5,51.0891,0.8928,1.37956,1.39918,1.33781,0.63165,0.81746,0.84951,0.51457,0.58872,0.7619,0.77899,0.38554,0.92961,3.5792,4.67808,1.38176,0.00685303,0.00685303,0.00685303
6,55.9039,0.90554,1.47831,1.39065,1.32711,0.53078,0.69841,0.65368,0.32787,0.63465,0.57937,0.65919,0.25694,1.18015,2.63892,2.58254,1.66461,0.00572629,0.00572629,0.00572629
7,60.7448,0.85055,1.32353,1.25559,1.26877,0.90353,0.89205,0.95678,0.615,0.9232,0.87302,0.93927,0.48825,0.82266,1.78912,1.40434,1.20073,0.00459955,0.00459955,0.00459955
8,65.5525,0.78552,1.23841,1.14911,1.22582,0.80725,0.64286,0.75572,0.43266,0.77769,0.63859,0.73059,0.42653,0.97981,1.64104,1.78983,1.35775,0.00347281,0.00347281,0.00347281
9,70.3689,0.76846,1.23003,1.07896,1.21366,0.9534,0.97415,0.98326,0.72908,0.9534,0.97415,0.98326,0.7108,0.68472,1.07106,0.88692,1.04751,0.00234607,0.00234607,0.00234607
10,75.192,0.70336,1.1386,0.97373,1.13941,0.94097,0.97619,0.99135,0.73104,0.94097,0.97619,0.99135,0.69804,0.65037,1.0865,0.79809,1.02522,0.00121933,0.00121933,0.00121933
