fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
1.5053,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
1.51645,0.01136,0.00899,0.91915,0.00052,3.50631,0.73205,5.30497,0.62372,1.53176,0.01486,0.7,0.33557,0.0,0.11073,0.50427,0.0,0.0,0.0,0.66817,0.0,0.81429,0.0,0.0
1.49904,0.01136,0.00811,0.84005,0.00049,3.46856,0.94457,6.20571,0.69353,1.61284,0.01737,0.74242,0.38853,0.0,0.12439,0.54554,0.0,0.0,0.0,0.8463,0.0,0.58349,0.0,0.0
1.49726,0.00639,0.01028,0.88122,0.00063,3.50631,0.66056,4.75923,0.70193,1.67514,0.01433,0.78312,0.296,0.0,0.10551,0.51193,0.0,0.0,0.0,0.36191,0.0,0.51059,0.0,0.0
1.53299,0.0105,0.00951,0.94102,0.00051,3.52494,0.7425,5.46212,0.65749,1.57928,0.01486,0.69716,0.35698,0.0,0.10831,0.53601,0.0,0.0,0.0,0.60986,0.0,0.78004,0.0,0.0
1.2435,0.01188,0.00971,0.98,0.00046,3.52494,0.8135,5.40719,0.67577,1.59685,0.01486,0.68653,0.39813,0.0,0.13199,0.47701,0.0,0.0,0.0,0.56901,0.0,0.83521,0.0,0.0
1.36516,0.01248,0.0108,0.93103,0.00051,3.3732,0.59415,5.46212,0.65749,1.57928,0.01408,0.71712,0.37617,0.0,0.10831,0.47,0.0,0.0,0.0,0.66161,0.0,0.83933,0.0,0.0
1.52324,0.01136,0.008,0.94204,0.00049,3.70307,0.73205,5.28512,0.6659,1.53176,0.0151,0.7,0.37587,0.0,0.11796,0.49016,0.0,0.0,0.0,0.60297,0.0,0.77684,0.0,0.0
1.48315,0.00881,0.01037,0.95034,0.00048,3.0,0.85532,6.69036,0.49793,1.70241,0.015,0.72265,0.45361,0.0,0.09158,0.49369,0.0,0.0,0.0,0.53362,0.0,1.0,0.0,0.0
1.46163,0.01136,0.00685,0.94666,0.00057,3.70307,0.82624,7.46999,0.74508,1.9396,0.01573,0.9,0.37587,0.0,0.08844,0.5899,0.0,0.0,0.0,0.29059,0.0,0.5824,0.0,0.0
1.41083,0.01132,0.01024,0.93659,0.00048,3.52494,0.9184,5.42704,0.87853,0.73918,0.0215,0.76173,0.31197,0.0,0.09933,0.6007,0.0,0.0,0.0,0.60081,0.0,0.92364,0.0,0.0
1.4924,0.01167,0.00649,0.97151,0.00047,3.94758,0.63587,5.28512,0.64301,1.61677,0.01432,0.6718,0.39434,0.0,0.11231,0.46275,0.0,0.0,0.0,0.52447,0.0,0.68119,0.0,0.0
1.52496,0.01081,0.00882,0.92874,0.00055,3.54018,0.74847,5.27192,0.57113,1.53176,0.01413,0.76098,0.25709,0.0,0.09046,0.50176,0.0,0.0,0.0,0.66817,0.0,0.81429,0.0,0.0
1.49255,0.01136,0.00815,0.94204,0.00049,3.24929,0.80344,5.02328,0.67203,1.38453,0.0151,0.7,0.37083,0.0,0.11796,0.54541,0.0,0.0,0.0,0.60297,0.0,0.52039,0.0,0.0
1.48932,0.01057,0.00951,0.93029,0.00051,3.49376,0.75573,5.66566,0.65749,1.57928,0.01387,0.69716,0.34907,0.0,0.10831,0.55851,0.0,0.0,0.0,0.63412,0.0,0.75461,0.0,0.0
1.51332,0.00948,0.01072,0.90784,0.00053,3.49364,0.73205,5.13247,0.65362,1.94702,0.01267,0.77295,0.26663,0.0,0.12774,0.66941,0.0,0.0,0.0,0.60297,0.0,0.8886,0.0,0.0
1.47993,0.01041,0.00987,0.9469,0.00056,3.68202,0.77075,5.06991,0.51905,1.57572,0.01589,0.65771,0.26959,0.0,0.09163,0.50176,0.0,0.0,0.0,0.66426,0.0,0.79853,0.0,0.0
1.50617,0.01136,0.0081,0.93405,0.00048,3.693,0.69389,4.98091,0.69865,1.48695,0.01488,0.72163,0.38713,0.0,0.11495,0.46772,0.0,0.0,0.0,0.61206,0.0,0.79825,0.0,0.0
1.47393,0.01191,0.0083,0.91915,0.00051,3.50631,0.73205,5.30497,0.62372,1.60021,0.01324,0.74979,0.34205,0.0,0.10501,0.48779,0.0,0.0,0.0,0.71251,0.0,0.81074,0.0,0.0
1.48741,0.0105,0.01032,0.94102,0.00048,3.52494,0.7425,5.82663,0.75252,1.69769,0.01394,0.79417,0.34526,0.0,0.10812,0.58856,0.0,0.0,0.0,0.64875,0.0,0.7061,0.0,0.0
1.5147,0.01081,0.00938,0.90319,0.00049,3.54018,0.64467,5.27192,0.64557,1.33618,0.0143,0.76098,0.25709,0.0,0.09046,0.51552,0.0,0.0,0.0,0.66817,0.0,0.81429,0.0,0.0
1.47679,0.01031,0.00951,0.94804,0.00032,4.8203,0.89205,5.79903,0.5928,1.72616,0.01605,0.76883,0.39043,0.0,0.13394,0.61673,0.0,0.0,0.0,0.67267,0.0,0.8434,0.0,0.0
1.51606,0.01061,0.0089,0.93143,0.00056,3.54018,0.75184,5.30956,0.57256,1.53522,0.01413,0.76151,0.25773,0.0,0.08995,0.50546,0.0,0.0,0.0,0.66817,0.0,0.81487,0.0,0.0
1.45427,0.01038,0.01154,0.98,0.00051,2.73149,0.7425,4.57671,0.65749,1.81545,0.01603,0.69716,0.35698,0.0,0.13065,0.53601,0.0,0.0,0.0,0.55988,0.0,0.72762,0.0,0.0
